source_sheet,field_season,kml_stop_id,longitude,latitude
2018-points,2018,AS-05-24-18-17,104.3239222222222,32.49859722222222
2018-points,2018,AS-05-24-18-18,104.3308527777778,32.50091111111111
2018-points,2018,AS-05-24-18-19,104.3330027777778,32.50013888888889
2018-points,2018,AS-05-24-18-20,104.3535027777778,32.49984166666667
2018-points,2018,AS-05-24-18-21,104.3628972222222,32.49833333333334
2018-points,2018,AS-05-24-18-22,104.3686416666667,32.49466666666667
2018-points,2018,AS-05-24-18-23,104.5145833333333,32.46946388888889
2018-points,2018,AS-05-24-18-24,104.5104166666667,32.47096944444445
2018-points,2018,AS-05-24-18-25,104.4950333333333,32.46510277777778
2018-points,2018,AS-05-24-18-26A,104.480775,32.46306666666667
2018-points,2018,AS-05-24-18-26B,104.4801944444444,32.46264444444445
2018-points,2018,AS-05-24-18-26C,104.4797888888889,32.46163333333334
2018-points,2018,AS-05-24-18-26D,104.4801833333333,32.46256944444445
2018-points,2018,AS-05-24-18-26E,104.4798555555556,32.4610888888889
2018-points,2018,AS-05-24-18-27,104.4782638888889,32.45950833333334
2018-points,2018,AS-05-24-18-28,104.4756861111111,32.45711388888889
2018-points,2018,AS-05-24-18-29,104.4644916666667,32.46033611111111
2018-points,2018,AS-05-24-18-30A,104.4529722222222,32.45855555555556
2018-points,2018,AS-05-24-18-30B,104.4517666666667,32.45990000000001
2018-points,2018,AS-05-24-18-31,104.4406777777778,32.45800277777778
2018-points,2018,AS-05-24-18-32A,104.4223611111111,32.46445277777778
2018-points,2018,AS-05-24-18-32B,104.4220972222222,32.46546388888889
2018-points,2018,AS-05-24-18-33,104.4055527777778,32.47000277777778
2018-points,2018,AS-05-24-18-34,104.3958416666667,32.47679444444444
2018-points,2018,AS-05-24-18-35,104.3748722222222,32.48998333333334
2018-points,2018,AS-05-25-18-1,104.2275111059547,32.49962500490773
2018-points,2018,AS-05-25-18-2,104.2204638909397,32.49808611789784
2018-points,2018,AS-05-25-18-3,104.2202418353985,32.49671671140778
2018-points,2018,AS-05-25-18-4,104.2188332920697,32.49288605463857
2018-points,2018,AS-05-25-18-5,104.1997388112032,32.49471667938933
2018-points,2018,AS-05-25-18-6,104.2080168173102,32.49457231178184
2018-points,2018,AS-05-25-18-7,104.2037583335505,32.49975833676768
2018-points,2018,AS-05-25-18-8,104.1939333337958,32.50190278621404
2018-points,2018,AS-05-25-18-9,104.1863722218348,32.5042777862825
2018-points,2018,AS-05-25-18-10,104.1854722229904,32.5055472275691
